"PMID","h_all_countries","a_all_countries","match"
"33212503","c(""Australia"", ""United_States"", ""Japan"")","c(""Australia"", ""United_States"", "" "")","MATCH"
"34188160","India","India","MATCH"
"33196841","India","India","MATCH"
"33948455","Germany","Germany","MATCH"
"33247934","China","China","MATCH"
"33797707","c(""India"", ""Canada"")","c(""India"", ""Canada"")","MATCH"
"31665454","Switzerland","Switzerland","MATCH"
"34339611","Turkey","Turkey","MATCH"
"33113081","India","India","MATCH"
"31688940","United_States","United_States","MATCH"
"34183042","China","China","MATCH"
"33981200","China","China","MATCH"
"30371822","c(""France"", ""United_States"")","c(""France"", ""United_States"")","MATCH"
"33662628","China","China","MATCH"
"33950237","United_States","c(""United_States"", "" "")","MATCH"
"33750297","c(""United_Kingdom"", ""Germany"", ""Argentina"", ""Sweden"", ""Serbia"", ""Israel"", ""Croatia"", ""Kenya"")","c(""United_Kingdom"", "" "", ""Germany"", ""Argentina"", ""Serbia"", ""Israel"", ""Croatia"", ""Kenya"")","NOT MATCH"
"32487193","China","China","MATCH"
"33175872",NA,"United_States",NA
"33125079","c(""France"", ""United_Kingdom"")","c(""France"", ""United_Kingdom"")","MATCH"
"33045747","c(""United_Kingdom"", ""United_States"")","c(""United_Kingdom"", ""United_States"")","MATCH"
"33465550","India","India","MATCH"
"33655207","Spain","Spain","MATCH"
"31452162","Georgia, United_States","United_States","MATCH"
"34152132",NA,"United_States",NA
"33215706","India","India","MATCH"
"33787284","c(""Germany"", NA)","c(""Germany"", "" "", ""United_States"")","NOT MATCH"
"34313401","c(""Italy"", ""Switzerland"")","c(""Italy"", ""Switzerland"")","MATCH"
"32592631","c(""Poland"", ""United_States"")","c(""Poland"", ""United_States"")","MATCH"
"33657667","China","China","MATCH"
"33594085","United_Kingdom","United_Kingdom","MATCH"
"33430968","Germany","Germany","MATCH"
"34313872","c(""United_States"", ""Japan"")","c(""United_States"", ""Japan"")","MATCH"
"33045751","China","China","MATCH"
"33929893","United_States","c(""United_States"", "" "")","MATCH"
"31612961","United_Kingdom","United_Kingdom","MATCH"
"32055858","China","China","MATCH"
"31724722","Japan","Japan","MATCH"
"33759118","Italy","Italy","MATCH"
"33191981","Italy","Italy","MATCH"
"34038437",NA,"South_Korea",NA
"34107016","Italy","c(""Italy"", "" "")","MATCH"
"34197127","India","India","MATCH"
"33999203","c(""Germany"", ""Luxembourg"", ""China"", ""Israel"", ""United_States"", ""Poland"", ""Australia"", ""Philippines"", NA)","c(""Germany"", ""Luxembourg"", ""China"", ""Israel"", ""United_States"", "" "", ""Australia"", ""Philippines"", ""South_Korea"")","NOT MATCH"
"33245761","c(""United_States"", ""Canada"", ""Ukraine"")","c(""United_States"", ""Canada"", ""Ukraine"")","MATCH"
"33546584","Brazil","Brazil","MATCH"
"32294193","China","China","MATCH"
"33765325","c(""Canada"", ""China"")","c(""Canada"", ""China"")","MATCH"
"33086069","United_States","United_States","MATCH"
"32111231","China","China","MATCH"
"31599330","China","c(""China"", "" "")","MATCH"
"34264745","Brazil","Brazil","MATCH"
"34167460","NULL","c(""Spain"", ""Germany"", ""United_States"", ""Sweden"")","NOT MATCH"
