PMID,h_all_countries,a_all_countries,match,check
33245775,United_Kingdom,"c(""United_Kingdom"", ""United_States"")",NOT MATCH,
34081107,United_Kingdom,United_Kingdom,MATCH,
33813885,United_Kingdom,United_Kingdom,MATCH,
34048576,United_Kingdom,United_Kingdom,MATCH,
33137190,United_Kingdom,United_Kingdom,MATCH,
34136652,United_Kingdom,United_Kingdom,MATCH,
33211879,United_Kingdom,United_Kingdom,MATCH,
33152070,United_Kingdom,United_Kingdom,MATCH,
33647438,United_Kingdom,United_Kingdom,MATCH,
33594085,United_Kingdom,United_Kingdom,MATCH,
31612961,United_Kingdom,United_Kingdom,MATCH,
33950237,United_States,"c(""United_States"", "" "")",MATCH,
33929893,United_States,"c(""United_States"", "" "")",MATCH,
33763309,United_States,United_States,MATCH,
33116744,United_States,United_States,MATCH,
33104772,United_States,United_States,MATCH,
34048547,United_States,United_States,MATCH,
34156448,United_States,United_States,MATCH,
33547946,United_States,United_States,MATCH,
33436076,United_States,United_States,MATCH,
34321100,United_States,United_States,MATCH,
34241085,United_States,United_States,MATCH,
34006627,United_States,United_States,MATCH,
34017945,United_States,United_States,MATCH,
34034817,United_States,United_States,MATCH,
34080131,United_States,United_States,MATCH,
33087719,United_States,United_States,MATCH,
34042771,United_States,United_States,MATCH,
34100240,United_States,United_States,MATCH,
32890396,United_States,United_States,MATCH,
33068428,United_States,United_States,MATCH,
33539887,United_States,United_States,MATCH,
33051688,United_States,United_States,MATCH,
34019655,United_States,United_States,MATCH,
33095860,United_States,United_States,MATCH,
34252924,United_States,United_States,MATCH,
33095870,United_States,United_States,MATCH,
33382886,United_States,United_States,MATCH,
33196830,United_States,United_States,MATCH,
33600011,United_States,United_States,MATCH,
33170210,United_States,United_States,MATCH,
33079988,United_States,United_States,MATCH,
33264401,United_States,United_States,MATCH,
34015823,United_States,United_States,MATCH,
32761142,United_States,United_States,MATCH,
34046592,United_States,United_States,MATCH,
34032471,United_States,United_States,MATCH,
33045727,United_States,United_States,MATCH,
31991337,United_States,United_States,MATCH,
33080015,United_States,United_States,MATCH,
33306801,United_States,United_States,MATCH,
33226064,United_States,United_States,MATCH,
33952239,United_States,United_States,MATCH,
34127402,United_States,United_States,MATCH,
34046172,United_States,United_States,MATCH,
33574307,United_States,United_States,MATCH,
33046717,United_States,United_States,MATCH,
33757430,United_States,United_States,MATCH,
32386298,United_States,United_States,MATCH,
33137183,United_States,United_States,MATCH,
34125008,United_States,United_States,MATCH,
33294866,United_States,United_States,MATCH,
33973408,United_States,United_States,MATCH,
33676930,United_States,United_States,MATCH,
33151290,United_States,United_States,MATCH,
31688940,United_States,United_States,MATCH,
33086069,United_States,United_States,MATCH,
